caps_top22,caps_top11,goal_rate_top4_fw,fw_goals_top4_total,age_top22_avg,age_top22_std,top5_league_pct,big_club_pct,chemistry_max_cluster,chemistry_top3_sum,unique_clubs,gk_avg_caps,squad_size,team,n_injured_out,availability_pct
42.13636363636363,62.63636363636363,0.33755274261603374,80,26.863636363636363,3.370678249473222,0.28,0.08,3,7,21,17.333333333333332,25,Canada,0,1.0
36.63636363636363,62.18181818181818,0.4624505928853755,117,27.0,4.186144947778269,0.96,0.84,4,11,16,29.666666666666668,25,England,1,0.9615384615384616
41.09090909090909,60.54545454545455,0.18487394957983194,22,28.454545454545453,3.4603505565225574,0.2692307692307692,0.3076923076923077,3,7,22,59.0,26,Uruguay,0,1.0
40.81818181818182,60.0,0.37967914438502676,71,28.636363636363637,3.848876824978011,0.038461538461538464,0.038461538461538464,3,9,16,16.666666666666668,26,Uzbekistan,0,1.0
37.09090909090909,59.81818181818182,0.3271604938271605,106,28.772727272727273,3.4768871981622573,0.11538461538461539,0.07692307692307693,8,14,14,21.25,26,Egypt,0,1.0
38.31818181818182,59.72727272727273,0.39015151515151514,103,27.954545454545453,3.5385936502578286,0.7307692307692307,0.7692307692307693,3,9,19,14.0,26,Netherlands,0,1.0
39.0,59.09090909090909,0.2553191489361702,72,28.09090909090909,3.676295896027891,0.038461538461538464,0.6923076923076923,7,17,9,31.333333333333332,26,Saudi Arabia,0,1.0
34.04545454545455,58.90909090909091,0.4485294117647059,61,26.181818181818183,4.875950345818933,0.56,0.44,2,5,23,48.666666666666664,25,Morocco,1,0.9615384615384616
35.40909090909091,58.45454545454545,0.21875,28,29.09090909090909,4.513567809648413,0.56,0.56,4,8,19,40.333333333333336,25,Brazil,1,0.9615384615384616
42.09090909090909,57.36363636363637,0.3076923076923077,64,26.59090909090909,3.5944281074899,0.46153846153846156,0.19230769230769232,2,5,24,23.333333333333332,26,United States,0,1.0
42.40909090909091,57.36363636363637,0.20512820512820512,32,27.90909090909091,3.6762958960278915,0.34615384615384615,0.8461538461538461,6,13,16,29.333333333333332,26,Turkey,0,1.0
